,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EM,EQ,EQ,EQ,RE,EQ,RE,EQ,EM,RE,EQ,EM,EQ,FI,FI,FI,FI,FI,FI,MACRO,MACRO,MACRO,MACRO,MACRO,MACRO,MACRO,MACRO,MACRO,IV1,IV1,IV1,IV1,IV1,IV1,IV1,IV1,IV1,IV2,IV2,IV2,IV2,IV2,IV2,IV2,IV2,IV2
,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity,FEDFUNDS,CPI,CREDIT,T10Y,GDP,T10Y3MM,UNRATE,OIL,EXCH,IV1M80,IV1M90,IV1M95,IV1M975,IV1M100,IV1M1025,IV1M105,IV1M110,IV1M120,IV2M80,IV2M90,IV2M95,IV2M975,IV2M100,IV2M1025,IV2M105,IV2M110,IV2M120
2006-05-31,132.7723,67.6617,27.8994,20.9802,31.1804,24.8518,57.2797,56.47,38.3939,34.2778,35.1008,45.4534,75.8892,33.6368,81.1902,52.3743,1.5333,88.3951,26.4638,26.9298,47.2381,110.5598,107.2118,87.9304,93.2253,84.9389,116.08868,4.99,201.8,3.12,5.12,15326.368,0.19,4.6,70.95,1.1016,31.85,24.32,19.12,16.49,13.82,11.59,10.18,10.37,12.92,28.43,21.44,17.74,15.9,14.09,12.46,11.02,9.42,9.74
2006-06-30,133.0711,67.6203,27.7711,20.8775,31.1912,25.3086,58.7347,55.01,40.6487,35.0648,35.0559,45.5828,79.3837,33.8112,85.8248,51.8275,1.4333,93.1128,27.4779,28.0458,47.5767,111.0323,107.0395,88.1321,94.3224,85.1393,115.9878,5.24,202.9,3.35,5.15,15326.368,0.01,4.7,74.41,1.117,27.14,20.69,16.08,13.76,11.6,9.82,9.61,10.69,12.72,24.85,19.01,15.86,14.17,12.54,11.09,9.89,8.95,10.36
2006-07-31,133.7196,68.1684,28.4065,20.3332,32.8931,25.7062,60.7011,54.73,41.0124,36.74800000000001,33.0652,46.1263,82.2805,32.5473,88.9537,49.8123,1.4333,97.1009,28.0564,28.7166,48.5141,112.7116,108.5252,89.6107,96.3516,85.705,117.68062,5.25,203.8,3.45,4.99,15456.928,-0.21,4.7,73.04,1.13135,29.51,21.72,16.79,14.54,12.43,10.52,9.94,10.37,11.58,25.54,19.7,16.49,14.89,13.3,11.71,10.38,10.0,11.02
2006-08-31,136.6377,69.9057,28.7414,21.7606,33.8317,26.7001,57.6169,55.3,40.7007,37.7579,33.4385,47.9173,84.7316,33.5268,91.8002,53.5186,1.61,100.5556,28.7206,28.8684,49.9724,114.5844,110.2504,91.1913,99.3079,86.3494,120.29867,5.25,202.8,3.49,4.74,15456.928,-0.21,4.5,63.8,1.10368,25.95,19.73,14.54,12.3,10.24,8.8,8.86,9.89,11.85,22.96,17.75,14.44,12.87,11.29,9.91,8.96,8.76,9.78
2006-09-30,140.326,70.0608,29.8977,22.6378,34.351,26.6869,55.5078,54.61,39.9733,37.209,34.7141,48.7559,86.7487,33.5223,93.6537,55.8578,1.7167,102.745,29.8575,29.1658,50.3058,114.7114,111.366,92.2249,101.187,86.7605,121.34945,5.25,201.9,3.42,4.64,15456.928,-0.32,4.4,58.89,1.118,23.5,18.94,14.48,12.24,10.09,8.4,8.47,10.76,13.84,23.12,17.93,14.59,12.95,11.39,9.9,8.74,8.95,10.14
2006-10-31,144.7487,72.6874,30.5972,23.5536,34.4648,27.1601,57.8755,55.7,43.6205,39.1795,35.6929,50.4175,92.3708,35.5354,99.2968,57.2148,1.7567,109.5163,30.9577,31.5084,52.264,114.6261,112.1295,92.7875,102.0651,87.0901,122.62023,5.25,202.0,3.29,4.61,15493.328,-0.47,4.5,59.08,1.12225,22.92,17.02,13.24,11.36,9.8,8.8,9.12,11.27,13.61,20.74,15.8,12.98,11.62,10.35,9.24,8.48,8.77,9.8
2006-11-30,147.627,74.9211,30.8131,24.2018,34.4234,26.9288,62.8396,55.7,46.0935,40.2195,36.5675,52.7468,96.6436,37.0822,104.1647,59.2806,2.0167,115.9743,30.7635,33.4551,54.139,115.8529,113.3193,94.0037,104.4193,87.51100000000002,124.35272,5.24,203.1,3.2,4.46,15493.328,-0.41,4.4,61.96,1.1403,25.43,19.06,13.93,11.46,9.4,8.05,7.69,8.44,10.73,22.6,16.69,13.44,11.88,10.42,9.18,8.18,7.86,8.89
2006-12-31,149.6006,77.3178,31.9721,24.0713,34.783,27.6039,61.0705,57.72,49.6894,40.5635,36.7462,54.464,94.9433,37.281,101.7702,59.18899999999999,2.1101,113.3638,32.1542,35.547,55.7644,113.1836,112.6387,92.805,101.6057,87.5675,123.23987,5.25,203.437,2.82,4.71,15493.328,-0.35,4.6,54.51,1.16575,25.1,18.83,13.53,11.23,9.03,7.44,7.33,8.37,10.63,22.28,17.21,13.9,12.32,10.76,9.31,8.16,7.58,9.68
2007-01-31,151.8506,78.3949,32.268,24.5577,35.8424,28.164,60.508,58.13,50.1137,40.4199,37.5124,55.2544,104.113,38.8232,110.8293,59.3717,2.1608,124.881,33.3472,36.48,56.4019,113.4471,112.5596,92.4335,100.5946,87.7099,123.35539,5.26,204.226,2.72,4.83,15582.085,-0.44,4.5,59.28,1.1769,23.15,17.58,13.44,11.25,9.06,7.35,7.42,9.39,12.82,20.68,16.15,13.02,11.46,9.89,8.45,7.33,7.14,9.58
