Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
1/30/04,113.48,46.1067,23.5891,21.25,30.98,21.78,28.17,38.64,15.96,23.81,27.03,31.25,51.655,25.51,51.86,53.79,1.1833,55.39,21.63,11.706,32.625,102.95,102.6,85.56,87.04,82.57,111.92
2/27/04,115.02,47.1667,24.2631,20.71,31.31,23.02,29.65,38.84,16.7,24.26,26.83,31.775,52.585,26.84,52.6333,52.69,1.1,56.47,22.31,12.482,33.705,105.16,103.7708,86.9398,89.027,82.9697,113.60684
3/31/04,113.502,47.2,23.9826,20.16,30.0057,22.9626,29.4669,43.48,16.8,24.5202,26.5029,30.43,55.4303,26.2211,55.6946,51.09,1.1833,59.8344,21.7058,12.47,32.51,106.91,104.4805,88.0672,90.283,83.2037,114.73053
4/30/04,111.3544,45.6,22.9385,19.39,30.938,23.2637,29.9691,40.56,14.3,23.4717,26.4929,29.62,47.1499,25.0069,47.3673,48.31,1.1,50.9881,21.5954,11.196,31.9,101.7548,101.5478,84.2398,84.6546,82.3199,110.27062
5/31/04,113.2612,46.12,23.33,20.15,30.8378,23.1333,29.8787,39.96,14.14,23.754,27.1451,30.3,50.3608,25.7094,51.3277,49.51,0.9,54.9102,21.0435,11.302,32.53,103.809,101.1642,83.7924,84.4358,82.3159,109.69281
6/30/04,115.3556,47.6667,23.4327,20.7,30.7226,23.2599,31.7414,42.48,14.71,24.1643,28.8201,31.35,51.8225,26.998,53.0583,50.93,0.9,56.3146,21.5433,11.648,33.26,103.6623,101.901,84.3416,85.3279,82.2995,109.83413
7/30/04,111.639,45.6333,22.9325,19.44,29.0739,22.1115,32.7195,39.36,15.75,24.5304,28.0157,29.75,51.961,26.383,52.8836,46.63,1.0167,56.9085,22.2997,11.956,32,104.4992,102.8434,85.3635,86.634,82.5289,111.54846
8/31/04,111.911,46.1767,23.6787,18.58,29.5464,22.5044,32.2153,39.92,17.02,25.5271,28.0358,29.925,56.244,26.8266,57.4499,44.54,0.9333,61.6133,22.4309,12.47,32.345,107.3113,104.5085,87.7785,90.2424,83.1383,114.98438
9/30/04,113.032,47.1333,23.4608,19.12,29.0292,21.9112,35.3582,38.8,18.54,25.6879,28.637,31.145,56.0131,27.9048,57.1201,46.05,1.0733,61.3735,23.0128,13.442,33.345,107.3996,105.0477,88.0618,91.0989,83.0588,115.3429
10/29/04,114.4884,48.7833,23.5845,19.96,28.3839,22.0528,35.5708,39.72,18.79,26.939,28.9296,32.925,58.8926,27.6415,60.3428,48.24,0.9833,65.2805,23.3384,13.76,34.745,108.5747,105.9587,88.9345,92.7082,83.3044,116.70879
